id,sbi
20231021_500101001_00:00,5.609063148498535
20231021_500101001_00:20,5.444972515106201
20231021_500101001_00:40,1.7838605642318726
20231021_500101001_01:00,1.8723469972610474
20231021_500101001_01:20,2.158839702606201
20231021_500101001_01:40,2.549830436706543
20231021_500101001_02:00,2.592885732650757
20231021_500101001_02:20,3.1027634143829346
20231021_500101001_02:40,3.1529345512390137
20231021_500101001_03:00,2.8218984603881836
20231021_500101001_03:20,2.9025511741638184
20231021_500101001_03:40,2.820009469985962
20231021_500101001_04:00,3.732867956161499
20231021_500101001_04:20,5.723531723022461
20231021_500101001_04:40,5.468996047973633
20231021_500101001_05:00,4.360614776611328
20231021_500101001_05:20,5.846906661987305
20231021_500101001_05:40,11.586544036865234
20231021_500101001_06:00,18.1911678314209
20231021_500101001_06:20,18.896188735961914
20231021_500101001_06:40,18.6102352142334
20231021_500101001_07:00,19.64512062072754
20231021_500101001_07:20,19.542028427124023
20231021_500101001_07:40,7.636672496795654
20231021_500101001_08:00,5.119412422180176
20231021_500101001_08:20,3.9017574787139893
20231021_500101001_08:40,3.0220329761505127
20231021_500101001_09:00,1.9609248638153076
20231021_500101001_09:20,2.021641492843628
20231021_500101001_09:40,1.8993809223175049
20231021_500101001_10:00,1.8598544597625732
20231021_500101001_10:20,3.2699906826019287
20231021_500101001_10:40,4.898223400115967
20231021_500101001_11:00,4.704625129699707
20231021_500101001_11:20,11.285805702209473
20231021_500101001_11:40,12.935002326965332
20231021_500101001_12:00,7.043300628662109
20231021_500101001_12:20,15.087114334106445
20231021_500101001_12:40,17.993255615234375
20231021_500101001_13:00,5.397139072418213
20231021_500101001_13:20,3.9418864250183105
20231021_500101001_13:40,3.490459680557251
20231021_500101001_14:00,2.617281913757324
20231021_500101001_14:20,2.3885140419006348
20231021_500101001_14:40,2.195025682449341
20231021_500101001_15:00,2.242797374725342
20231021_500101001_15:20,2.4832472801208496
20231021_500101001_15:40,2.808894157409668
20231021_500101001_16:00,3.582455635070801
20231021_500101001_16:20,3.37911319732666
20231021_500101001_16:40,3.746002197265625
20231021_500101001_17:00,2.3034441471099854
20231021_500101001_17:20,3.482581615447998
20231021_500101001_17:40,7.707809925079346
20231021_500101001_18:00,7.355234146118164
20231021_500101001_18:20,7.071013927459717
20231021_500101001_18:40,6.5643086433410645
20231021_500101001_19:00,3.4093306064605713
20231021_500101001_19:20,3.9208357334136963
20231021_500101001_19:40,3.397636651992798
20231021_500101001_20:00,2.8413116931915283
20231021_500101001_20:20,2.9589176177978516
20231021_500101001_20:40,2.008881092071533
20231021_500101001_21:00,1.6394627094268799
20231021_500101001_21:20,2.020150661468506
20231021_500101001_21:40,2.033068895339966
20231021_500101001_22:00,1.8304938077926636
20231021_500101001_22:20,1.7843495607376099
20231021_500101001_22:40,1.6678354740142822
20231021_500101001_23:00,2.702461004257202
20231021_500101001_23:20,4.447602272033691
20231021_500101001_23:40,7.7743964195251465
20231022_500101001_00:00,5.54069185256958
20231022_500101001_00:20,3.755948305130005
20231022_500101001_00:40,5.0460028648376465
20231022_500101001_01:00,4.4013261795043945
20231022_500101001_01:20,4.656473159790039
20231022_500101001_01:40,4.850855827331543
20231022_500101001_02:00,6.316903114318848
20231022_500101001_02:20,6.671409606933594
20231022_500101001_02:40,7.266022682189941
20231022_500101001_03:00,7.4740753173828125
20231022_500101001_03:20,8.202167510986328
20231022_500101001_03:40,7.507138729095459
20231022_500101001_04:00,7.787134647369385
20231022_500101001_04:20,8.214588165283203
20231022_500101001_04:40,7.0047736167907715
20231022_500101001_05:00,7.701341152191162
20231022_500101001_05:20,7.622156143188477
20231022_500101001_05:40,8.138184547424316
20231022_500101001_06:00,9.309636116027832
20231022_500101001_06:20,9.654581069946289
20231022_500101001_06:40,6.945654392242432
20231022_500101001_07:00,5.896700859069824
20231022_500101001_07:20,5.295962810516357
20231022_500101001_07:40,3.5454633235931396
20231022_500101001_08:00,2.1214590072631836
20231022_500101001_08:20,1.982453465461731
20231022_500101001_08:40,1.8115686178207397
20231022_500101001_09:00,3.4163784980773926
20231022_500101001_09:20,3.469372034072876
20231022_500101001_09:40,2.9409260749816895
20231022_500101001_10:00,1.7575547695159912
20231022_500101001_10:20,2.983520269393921
20231022_500101001_10:40,3.909099817276001
20231022_500101001_11:00,3.429171085357666
20231022_500101001_11:20,3.7485032081604004
20231022_500101001_11:40,2.5716795921325684
20231022_500101001_12:00,3.1131374835968018
20231022_500101001_12:20,2.612399101257324
20231022_500101001_12:40,2.4955966472625732
20231022_500101001_13:00,1.839374303817749
20231022_500101001_13:20,1.797749638557434
20231022_500101001_13:40,1.636703372001648
20231022_500101001_14:00,1.5631040334701538
20231022_500101001_14:20,1.7324928045272827
20231022_500101001_14:40,1.7400763034820557
20231022_500101001_15:00,1.205336570739746
20231022_500101001_15:20,1.5676823854446411
20231022_500101001_15:40,1.3293629884719849
20231022_500101001_16:00,1.6471894979476929
20231022_500101001_16:20,1.592790961265564
20231022_500101001_16:40,2.202124834060669
20231022_500101001_17:00,4.363199710845947
20231022_500101001_17:20,2.2344822883605957
20231022_500101001_17:40,2.951169490814209
20231022_500101001_18:00,3.0686826705932617
20231022_500101001_18:20,2.2393643856048584
20231022_500101001_18:40,1.6990628242492676
20231022_500101001_19:00,2.888063907623291
20231022_500101001_19:20,1.8943346738815308
20231022_500101001_19:40,1.7337701320648193
20231022_500101001_20:00,1.6886284351348877
20231022_500101001_20:20,1.5125186443328857
20231022_500101001_20:40,1.5480836629867554
20231022_500101001_21:00,1.0053954124450684
20231022_500101001_21:20,1.1427425146102905
20231022_500101001_21:40,1.1537024974822998
20231022_500101001_22:00,1.1440036296844482
20231022_500101001_22:20,1.026035189628601
20231022_500101001_22:40,1.88485586643219
20231022_500101001_23:00,2.2294833660125732
20231022_500101001_23:20,2.7925209999084473
20231022_500101001_23:40,3.3284976482391357
20231023_500101001_00:00,4.60230827331543
20231023_500101001_00:20,3.418600082397461
20231023_500101001_00:40,3.131375551223755
20231023_500101001_01:00,4.159303188323975
20231023_500101001_01:20,4.430619239807129
20231023_500101001_01:40,4.537365913391113
20231023_500101001_02:00,4.518382549285889
20231023_500101001_02:20,4.456215858459473
20231023_500101001_02:40,4.951949119567871
20231023_500101001_03:00,5.750810146331787
20231023_500101001_03:20,8.38757610321045
20231023_500101001_03:40,8.69184684753418
20231023_500101001_04:00,8.805170059204102
20231023_500101001_04:20,13.817464828491211
20231023_500101001_04:40,19.28030014038086
20231023_500101001_05:00,20.36709976196289
20231023_500101001_05:20,20.229612350463867
20231023_500101001_05:40,21.031007766723633
20231023_500101001_06:00,22.05337905883789
20231023_500101001_06:20,23.053781509399414
20231023_500101001_06:40,21.964492797851562
20231023_500101001_07:00,20.43800926208496
20231023_500101001_07:20,4.089208126068115
20231023_500101001_07:40,3.0157761573791504
20231023_500101001_08:00,1.2379186153411865
20231023_500101001_08:20,1.5440418720245361
20231023_500101001_08:40,1.304134726524353
20231023_500101001_09:00,1.1124869585037231
20231023_500101001_09:20,1.098250389099121
20231023_500101001_09:40,0.8442822694778442
20231023_500101001_10:00,0.8351287841796875
20231023_500101001_10:20,0.9386550784111023
20231023_500101001_10:40,0.9189577698707581
20231023_500101001_11:00,1.159257411956787
20231023_500101001_11:20,1.8713281154632568
20231023_500101001_11:40,1.4635655879974365
20231023_500101001_12:00,1.1682902574539185
20231023_500101001_12:20,2.0899412631988525
20231023_500101001_12:40,1.779097557067871
20231023_500101001_13:00,1.0352803468704224
20231023_500101001_13:20,1.3041101694107056
20231023_500101001_13:40,1.3662022352218628
20231023_500101001_14:00,1.294095754623413
20231023_500101001_14:20,1.1656951904296875
20231023_500101001_14:40,1.508503794670105
20231023_500101001_15:00,1.2878975868225098
20231023_500101001_15:20,2.4955124855041504
20231023_500101001_15:40,4.931795597076416
20231023_500101001_16:00,5.953405380249023
20231023_500101001_16:20,9.164780616760254
20231023_500101001_16:40,19.418790817260742
20231023_500101001_17:00,9.86859130859375
20231023_500101001_17:20,24.524988174438477
20231023_500101001_17:40,24.430349349975586
20231023_500101001_18:00,19.174257278442383
20231023_500101001_18:20,12.783206939697266
20231023_500101001_18:40,3.6719884872436523
20231023_500101001_19:00,2.2327282428741455
20231023_500101001_19:20,2.519522190093994
20231023_500101001_19:40,2.3215115070343018
20231023_500101001_20:00,2.3819267749786377
20231023_500101001_20:20,2.556778907775879
20231023_500101001_20:40,2.694999933242798
20231023_500101001_21:00,2.686328887939453
20231023_500101001_21:20,2.5756783485412598
20231023_500101001_21:40,2.527825117111206
20231023_500101001_22:00,2.5258426666259766
20231023_500101001_22:20,2.4832215309143066
20231023_500101001_22:40,2.444951295852661
20231023_500101001_23:00,2.852717876434326
20231023_500101001_23:20,13.804595947265625
20231023_500101001_23:40,21.535846710205078
20231024_500101001_00:00,22.64685821533203
20231024_500101001_00:20,20.343244552612305
20231024_500101001_00:40,17.223880767822266
20231024_500101001_01:00,13.787384986877441
20231024_500101001_01:20,13.804863929748535
20231024_500101001_01:40,14.20661449432373
20231024_500101001_02:00,14.657998085021973
20231024_500101001_02:20,14.405430793762207
20231024_500101001_02:40,14.012317657470703
20231024_500101001_03:00,14.063254356384277
